time,measured,predicted
-0.003,-76.9429,-16.31037339342832
-0.002001,-36.446636842105264,-16.31037339342832
-0.001,-22.997693357933578,-16.31037339342832
0.0,-16.31037339342832,-16.31037339342832
0.001,-12.327473490268854,-14.829568914828032
0.002,-9.696540461500044,-13.35273974787361
0.003,-7.837908519021641,-11.879875220593833
0.004,-6.4617088240011595,-10.410964689667159
0.005,-5.406872887119627,-8.945997540344623
0.006,-4.576734101609477,-7.484963186373349
0.007,-3.9097558481519585,-6.027851069919702
0.008,-3.364895650175257,-4.5746506614933296
0.009,-2.9137244091218997,-3.125351459871071
0.01,-2.53592316072072,-1.6799429920206848
0.011,-2.2165811582305817,-0.23841481302566692
0.012,-1.9445071860823433,1.1992434939906467
0.013,-1.7111368769944468,2.6330423179399425
0.014,-1.5098042406729428,4.062992019844486
0.015,-1.335243209761037,5.489102932911539
0.016,-1.1832386874838332,6.911385362608293
0.017,-1.0503772551106065,8.329849586736263
0.018,-0.9338658227649745,9.744505855505626
0.019,-0.8313975399942359,11.155364391609147
0.02,-0.7410511780582424,12.562435390296212
0.021,-0.6612146090272619,13.965729019446325
0.022,-0.590525892246914,15.365255419642835
0.023,-0.5278274023226383,16.761024704245862
0.024,-0.4721297380121709,18.153046959465804
0.025,-0.42258305151155356,19.54133224443583
0.026,-0.37845406761971484,20.92589059128484
0.027,-0.3391075092943431,22.306732005209817
0.028,-0.3039909673457745,23.683866464548153
0.029,-0.27262248557632707,25.057303920849847
0.03,-0.2445803043485576,26.427054298949265
0.031,-0.21949433304195973,27.79312749703695
0.032,-0.19703901741542137,29.15553338673127
0.033,-0.17692734016328984,30.514281813149346
0.034,-0.15890574806898028,31.86938259497878
0.035,-0.14274984152492623,33.22084552454809
0.036,-0.12826069499363327,34.568680367897656
0.037,-0.11526170256740209,35.912896864850566
0.038,-0.10359586286774035,37.25350472908244
0.039,-0.0931234333921611,38.590513648192115
0.04,-0.08371989702761057,39.92393328377143
0.041,-0.07527419353243676,41.25377327147511
0.042,-0.06768717689487025,42.58004322109026
0.043,-0.06087026602813288,43.90275271660606
0.044,-0.05474426158604357,45.22191131628272
0.045,-0.04923830603051176,46.53752855272085
0.046,-0.04428896765002258,47.84961393293014
0.047,-0.03983943216994313,49.15817693839803
0.048,-0.03583878803228715,50.46322702515853
0.049,-0.03224139345022562,51.76477362386014
0.05,-0.029006315037217702,53.062826139834286
0.051,-0.026096829232901835,54.357393953163196
0.052,-0.023479978946529888,55.648486418747694
0.053,-0.021126178852957714,56.93611286637473
0.054,-0.019008863637723746,58.22028260078493
0.055,-0.017104174222287286,59.501004901739734
0.056,-0.01539067762903161,60.778289024088465
0.057,-0.013849116685324039,62.05214419783533
0.058,-0.012462186230858964,63.32257962820583
0.059,-0.011214332894310418,64.5896044957137
0.06,-0.010091575853604788,65.85322795622677
0.061,-0.009081346296879738,67.11345914103353
0.062,-0.00817234356508261,68.37030715690892
0.063,-0.007354406187754038,69.62378108618026
0.064,-0.006618396225520843,70.87388998679263
0.065,-0.005956095510131878,72.12064289237462
0.066,-0.005360112528848319,73.36404881230341
0.067,-0.004823798837478235,74.60411673177002
0.068,-0.004341174007736452,75.84085561184413
0.069,-0.003906858221975645,77.07427438953877
0.07,-0.003516011723440443,78.30438197787525
0.071,-0.0031642804145622875,79.5311872659471
0.072,-0.0028477469707496534,80.75469911898456
0.073,-0.0025628869037695387,81.9749263784187
