timestamp,dt,position,velocity,eror,normalized_error,derivative,integral,pid,pwm
3037077,0.002001,-0.0000,0.000000,50.00,0.1389,20.8229,0.0003,0.9720,1694
3048043,0.010966,-0.0000,0.000000,50.00,0.1389,2.6597,0.0015,0.6088,1621
3058044,0.002000,-0.0000,0.000000,50.00,0.1389,2.4510,0.0003,0.6046,1620
3068044,0.002000,-0.0000,0.000000,50.00,0.1389,0.4119,0.0003,0.5638,1612
3078044,0.002000,-0.0000,0.000000,50.00,0.1389,0.0692,0.0003,0.5569,1611
3088044,0.002000,-0.0000,0.000000,50.00,0.1389,0.0116,0.0003,0.5558,1611
3098047,0.002001,-0.0000,0.000000,50.00,0.1389,0.0020,0.0003,0.5556,1611
3108047,0.002000,-0.0000,0.000000,50.00,0.1389,0.0003,0.0003,0.5556,1611
3118048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0001,0.0003,0.5556,1611
3128048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3138048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3148048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3158048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3168048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3178048,0.002000,-0.0000,0.000000,50.00,0.1389,0.0000,0.0003,0.5556,1611
3188048,0.002000,0.0430,10.796557,39.20,0.1089,-1.5272,0.0002,0.4050,1581
3198048,0.002000,0.0583,5.949500,44.05,0.1224,-1.0883,0.0002,0.4677,1593
3208048,0.002000,0.1473,24.359217,25.64,0.0712,-4.3001,0.0005,0.1989,1539
3218048,0.002000,0.2961,32.211037,17.79,0.0494,-2.1171,0.0010,0.1553,1531
3228049,0.002001,0.4341,24.664164,25.34,0.0704,1.4334,0.0017,0.3102,1562
3238050,0.002000,0.5446,21.475828,28.52,0.0792,0.7284,0.0024,0.3315,1566
3248051,0.002000,0.6397,18.410212,31.59,0.0877,0.6658,0.0033,0.3643,1572
3258052,0.002000,0.7271,15.403513,34.60,0.0961,1.0842,0.0042,0.4061,1581
3268055,0.002000,0.8498,29.081541,20.92,0.0581,-2.5274,0.0049,0.1819,1536
3278055,0.002000,1.0109,33.744999,16.26,0.0452,-1.3604,0.0054,0.1534,1530
3288057,0.002001,1.1812,35.220177,14.78,0.0411,-0.8421,0.0058,0.1474,1529
3298057,0.002000,1.3560,35.222626,14.78,0.0410,-0.3743,0.0063,0.1567,1531
3308058,0.002000,1.4956,24.548868,25.45,0.0707,2.0795,0.0069,0.3244,1564
3318058,0.002000,1.6015,18.528162,31.47,0.0874,1.8501,0.0077,0.3867,1577
3328059,0.002000,1.6904,15.460102,34.54,0.0959,1.4822,0.0086,0.4134,1582
3338060,0.002000,1.7687,15.339834,34.66,0.0963,0.4240,0.0095,0.3936,1578
