i,timestamp,count,position,velocity,step,pwm
0,103637261,0,-0.0000,-143574.1562,0.500000,1700
1,103638261,0,-0.0000,-100501.9062,0.500000,1700
2,103639261,0,-0.0000,-70351.3359,0.500000,1700
3,103640261,0,-0.0000,-49245.9336,0.500000,1700
4,103641261,0,-0.0000,-34472.1523,0.500000,1700
5,103642261,0,-0.0000,-24130.5059,0.500000,1700
6,103643261,0,-0.0000,-16891.3535,0.500000,1700
7,103644261,0,-0.0000,-11823.9473,0.500000,1700
8,103645261,0,-0.0000,-8276.7627,0.500000,1700
9,103646261,0,-0.0000,-5793.7339,0.500000,1700
10,103647261,0,-0.0000,-4055.6138,0.500000,1700
11,103648261,0,-0.0000,-2838.9297,0.500000,1700
12,103649261,0,-0.0000,-1987.2507,0.500000,1700
13,103650261,0,-0.0000,-1391.0754,0.500000,1700
14,103651261,0,-0.0000,-973.7528,0.500000,1700
15,103652261,0,-0.0000,-681.6270,0.500000,1700
16,103653261,0,-0.0000,-477.1389,0.500000,1700
17,103654261,0,-0.0000,-333.9972,0.500000,1700
18,103655261,0,-0.0000,-233.7980,0.500000,1700
19,103656261,0,-0.0000,-163.6586,0.500000,1700
20,103657261,0,-0.0000,-114.5610,0.500000,1700
21,103658261,0,-0.0000,-80.1927,0.500000,1700
22,103659261,0,-0.0000,-56.1349,0.500000,1700
23,103660261,0,-0.0000,-39.2944,0.500000,1700
24,103661261,0,-0.0000,-27.5061,0.500000,1700
25,103662261,0,-0.0000,-19.2543,0.500000,1700
26,103663261,0,-0.0000,-13.4780,0.500000,1700
27,103664261,0,-0.0000,-9.4346,0.500000,1700
28,103665261,0,-0.0000,-6.6042,0.500000,1700
29,103666261,0,-0.0000,-4.6229,0.500000,1700
30,103667261,0,-0.0000,-3.2361,0.500000,1700
31,103668261,0,-0.0000,-2.2652,0.500000,1700
32,103669261,0,-0.0000,-1.5857,0.500000,1700
33,103670261,0,-0.0000,-1.1100,0.500000,1700
34,103671261,0,-0.0000,-0.7770,0.500000,1700
35,103672261,0,-0.0000,-0.5439,0.500000,1700
36,103673261,0,-0.0000,-0.3807,0.500000,1700
37,103674261,0,-0.0000,-0.2665,0.500000,1700
38,103675261,0,-0.0000,-0.1866,0.500000,1700
39,103676261,0,-0.0000,-0.1306,0.500000,1700
40,103677261,0,-0.0000,-0.0914,0.500000,1700
41,103678261,0,-0.0000,-0.0640,0.500000,1700
42,103679261,0,-0.0000,-0.0448,0.500000,1700
43,103680261,0,-0.0000,-0.0314,0.500000,1700
44,103681261,0,-0.0000,-0.0219,0.500000,1700
45,103682261,0,-0.0000,-0.0154,0.500000,1700
46,103683261,0,-0.0000,-0.0108,0.500000,1700
47,103684261,0,-0.0000,-0.0075,0.500000,1700
48,103685261,0,-0.0000,-0.0053,0.500000,1700
49,103686261,0,-0.0000,-0.0037,0.500000,1700
50,103687261,0,-0.0000,-0.0026,0.500000,1700
51,103688261,0,-0.0000,-0.0018,0.500000,1700
52,103689261,0,-0.0000,-0.0013,0.500000,1700
53,103690261,0,-0.0000,-0.0009,0.500000,1700
54,103691261,0,-0.0000,-0.0006,0.500000,1700
55,103692261,0,-0.0000,-0.0004,0.500000,1700
56,103693261,0,-0.0000,-0.0003,0.500000,1700
57,103694261,0,-0.0000,-0.0002,0.500000,1700
58,103695261,0,-0.0000,-0.0001,0.500000,1700
59,103696261,0,-0.0000,-0.0001,0.500000,1700
60,103697261,0,-0.0000,-0.0001,0.500000,1700
61,103698261,0,-0.0000,-0.0001,0.500000,1700
62,103699261,0,-0.0000,-0.0000,0.500000,1700
63,103700261,0,-0.0000,-0.0000,0.500000,1700
64,103701261,0,-0.0000,-0.0000,0.500000,1700
65,103702261,0,-0.0000,-0.0000,0.500000,1700
66,103703261,0,-0.0000,-0.0000,0.500000,1700
67,103704261,0,-0.0000,-0.0000,0.500000,1700
68,103705261,0,-0.0000,-0.0000,0.500000,1700
69,103706261,0,-0.0000,-0.0000,0.500000,1700
70,103707261,0,-0.0000,-0.0000,0.500000,1700
71,103708261,0,-0.0000,-0.0000,0.500000,1700
72,103709261,0,-0.0000,-0.0000,0.500000,1700
73,103710261,0,-0.0000,-0.0000,0.500000,1700
74,103711261,0,-0.0000,-0.0000,0.500000,1700
75,103712261,0,-0.0000,-0.0000,0.500000,1700
76,103713261,0,-0.0000,-0.0000,0.500000,1700
77,103714261,0,-0.0000,-0.0000,0.500000,1700
78,103715261,0,-0.0000,-0.0000,0.500000,1700
79,103716261,0,-0.0000,-0.0000,0.500000,1700
80,103717261,0,-0.0000,-0.0000,0.500000,1700
81,103718261,0,-0.0000,-0.0000,0.500000,1700
82,103719261,0,-0.0000,-0.0000,0.500000,1700
83,103720261,0,-0.0000,-0.0000,0.500000,1700
84,103721261,0,-0.0000,-0.0000,0.500000,1700
85,103722261,0,-0.0000,-0.0000,0.500000,1700
86,103723261,0,-0.0000,-0.0000,0.500000,1700
