i,timestamp,count,position,velocity,step,pwm
0,129764108,0,-0.0000,-63.8473,0.600000,1740
1,129765108,0,-0.0000,0.0000,0.600000,1740
2,129766108,0,-0.0000,0.0000,0.600000,1740
3,129767108,0,-0.0000,0.0000,0.600000,1740
4,129768108,0,-0.0000,0.0000,0.600000,1740
5,129769108,0,-0.0000,0.0000,0.600000,1740
6,129770108,0,-0.0000,0.0000,0.600000,1740
7,129771108,0,-0.0000,0.0000,0.600000,1740
8,129772108,0,-0.0000,0.0000,0.600000,1740
9,129773108,0,-0.0000,0.0000,0.600000,1740
10,129774108,0,-0.0000,0.0000,0.600000,1740
11,129775108,0,-0.0000,0.0000,0.600000,1740
12,129776108,0,-0.0000,0.0000,0.600000,1740
13,129777108,0,-0.0000,0.0000,0.600000,1740
14,129778108,0,-0.0000,0.0000,0.600000,1740
15,129779108,0,-0.0000,0.0000,0.600000,1740
16,129780108,0,-0.0000,0.0000,0.600000,1740
17,129781108,0,-0.0000,0.0000,0.600000,1740
18,129782108,0,-0.0000,0.0000,0.600000,1740
19,129783108,0,-0.0000,0.0000,0.600000,1740
20,129784108,0,-0.0000,0.0000,0.600000,1740
21,129785108,0,-0.0000,0.0000,0.600000,1740
22,129786108,0,-0.0000,0.0000,0.600000,1740
23,129787108,0,-0.0000,0.0000,0.600000,1740
24,129788108,0,-0.0000,0.0000,0.600000,1740
25,129789108,0,-0.0000,0.0000,0.600000,1740
26,129790108,0,-0.0000,0.0000,0.600000,1740
27,129791108,0,-0.0000,0.0000,0.600000,1740
28,129792108,0,-0.0000,0.0000,0.600000,1740
29,129793108,0,-0.0000,0.0000,0.600000,1740
30,129794108,0,-0.0000,0.0000,0.600000,1740
31,129795108,0,-0.0000,0.0000,0.600000,1740
32,129796108,0,-0.0000,0.0000,0.600000,1740
33,129797108,0,-0.0000,0.0000,0.600000,1740
34,129798108,0,-0.0000,0.0000,0.600000,1740
35,129799108,0,-0.0000,0.0000,0.600000,1740
36,129800108,0,-0.0000,0.0000,0.600000,1740
37,129801108,0,-0.0000,0.0000,0.600000,1740
38,129802108,0,-0.0000,0.0000,0.600000,1740
39,129803108,0,-0.0000,0.0000,0.600000,1740
40,129804108,0,-0.0000,0.0000,0.600000,1740
41,129805108,0,-0.0000,0.0000,0.600000,1740
42,129806108,0,-0.0000,0.0000,0.600000,1740
43,129807108,0,-0.0000,0.0000,0.600000,1740
44,129808108,0,-0.0000,0.0000,0.600000,1740
45,129809108,0,-0.0000,0.0000,0.600000,1740
46,129810108,0,-0.0000,0.0000,0.600000,1740
47,129811108,0,-0.0000,0.0000,0.600000,1740
48,129812108,0,-0.0000,0.0000,0.600000,1740
49,129813108,0,-0.0000,0.0000,0.600000,1740
50,129814108,0,-0.0000,0.0000,0.600000,1740
51,129815108,0,-0.0000,0.0000,0.600000,1740
52,129816108,0,-0.0000,0.0000,0.600000,1740
53,129817108,0,-0.0000,0.0000,0.600000,1740
54,129818108,0,-0.0000,0.0000,0.600000,1740
55,129819108,0,-0.0000,0.0000,0.600000,1740
56,129820108,0,-0.0000,0.0000,0.600000,1740
57,129821108,0,-0.0000,0.0000,0.600000,1740
58,129822108,0,-0.0000,0.0000,0.600000,1740
59,129823108,0,-0.0000,0.0000,0.600000,1740
60,129824108,0,-0.0000,0.0000,0.600000,1740
61,129825108,0,-0.0000,0.0000,0.600000,1740
62,129826108,0,-0.0000,0.0000,0.600000,1740
63,129827108,0,-0.0000,0.0000,0.600000,1740
64,129828108,0,-0.0000,0.0000,0.600000,1740
65,129829108,0,-0.0000,0.0000,0.600000,1740
66,129830108,0,-0.0000,0.0000,0.600000,1740
67,129831108,0,-0.0000,0.0000,0.600000,1740
68,129832108,0,-0.0000,0.0000,0.600000,1740
69,129833108,0,-0.0000,0.0000,0.600000,1740
70,129834108,0,-0.0000,0.0000,0.600000,1740
71,129835108,0,-0.0000,0.0000,0.600000,1740
72,129836108,0,-0.0000,0.0000,0.600000,1740
73,129837108,0,-0.0000,0.0000,0.600000,1740
74,129838108,0,-0.0000,0.0000,0.600000,1740
75,129839108,0,-0.0000,0.0000,0.600000,1740
76,129840108,0,-0.0000,0.0000,0.600000,1740
77,129841108,0,-0.0000,0.0000,0.600000,1740
78,129842108,0,-0.0000,0.0000,0.600000,1740
79,129843108,0,-0.0000,0.0000,0.600000,1740
80,129844108,0,-0.0000,0.0000,0.600000,1740
81,129845108,0,-0.0000,0.0000,0.600000,1740
82,129846108,0,-0.0000,0.0000,0.600000,1740
83,129847108,0,-0.0000,0.0000,0.600000,1740
84,129848108,0,-0.0000,0.0000,0.600000,1740
85,129849108,0,-0.0000,0.0000,0.600000,1740
86,129850108,0,-0.0000,0.0000,0.600000,1740
87,129851108,0,-0.0000,0.0000,0.600000,1740
88,129852108,0,-0.0000,0.0000,0.600000,1740
89,129853108,0,-0.0000,0.0000,0.600000,1740
90,129854108,0,-0.0000,0.0000,0.600000,1740
91,129855108,0,-0.0000,0.0000,0.600000,1740
92,129856108,0,-0.0000,0.0000,0.600000,1740
93,129857108,0,-0.0000,0.0000,0.600000,1740
94,129858108,0,-0.0000,0.0000,0.600000,1740
95,129859108,0,-0.0000,0.0000,0.600000,1740
96,129860108,0,-0.0000,0.0000,0.600000,1740
97,129861108,0,-0.0000,0.0000,0.600000,1740
98,129862108,0,-0.0000,0.0000,0.600000,1740
99,129863108,0,-0.0000,0.0000,0.600000,1740
100,129864108,0,-0.0000,0.0000,0.600000,1740
101,129865108,0,-0.0000,0.0000,0.600000,1740
102,129866108,0,-0.0000,0.0000,0.600000,1740
103,129867108,0,-0.0000,0.0000,0.600000,1740
104,129868108,3,-0.0184,-18.4078,0.600000,1740
105,129869107,7,-0.0430,-24.5683,0.600000,1740
106,129870108,12,-0.0736,-30.6490,0.600000,1740
107,129871107,16,-0.0982,-24.5683,0.600000,1740
108,129872108,20,-0.1227,-24.5192,0.600000,1740
109,129873107,25,-0.1534,-30.7103,0.600000,1740
110,129874108,29,-0.1779,-24.5192,0.600000,1740
111,129875107,33,-0.2025,-24.5683,0.600000,1740
112,129876108,37,-0.2270,-24.5192,0.600000,1740
113,129877107,41,-0.2516,-24.5683,0.600000,1740
114,129878108,45,-0.2761,-24.5192,0.600000,1740
115,129879107,50,-0.3068,-30.7103,0.600000,1740
116,129880108,54,-0.3313,-24.5192,0.600000,1740
117,129881107,58,-0.3559,-24.5682,0.600000,1740
118,129882108,62,-0.3804,-24.5192,0.600000,1740
119,129883107,66,-0.4050,-24.5683,0.600000,1740
120,129884108,69,-0.4234,-18.3894,0.600000,1740
121,129885107,72,-0.4418,-18.4262,0.600000,1740
122,129886108,74,-0.4541,-12.2596,0.600000,1740
123,129887107,76,-0.4663,-12.2841,0.600000,1740
124,129888108,77,-0.4725,-6.1298,0.600000,1740
125,129889107,77,-0.4725,0.0000,0.600000,1740
126,129890108,77,-0.4725,0.0000,0.600000,1740
127,129891107,75,-0.4602,12.2841,0.600000,1740
128,129892108,72,-0.4418,18.3894,0.600000,1740
129,129893107,68,-0.4172,24.5682,0.600000,1740
130,129894108,64,-0.3927,24.5192,0.600000,1740
131,129895107,59,-0.3620,30.7103,0.600000,1740
132,129896108,54,-0.3313,30.6490,0.600000,1740
133,129897107,49,-0.3007,30.7103,0.600000,1740
134,129898108,45,-0.2761,24.5192,0.600000,1740
135,129899107,41,-0.2516,24.5683,0.600000,1740
136,129900108,38,-0.2332,18.3894,0.600000,1740
137,129901107,37,-0.2270,6.1421,0.600000,1740
138,129902108,36,-0.2209,6.1298,0.600000,1740
139,129903107,36,-0.2209,0.0000,0.600000,1740
140,129904108,35,-0.2148,6.1298,0.600000,1740
141,129905107,35,-0.2148,0.0000,0.600000,1740
142,129906108,34,-0.2086,6.1298,0.600000,1740
143,129907107,33,-0.2025,6.1421,0.600000,1740
144,129908108,31,-0.1902,12.2596,0.600000,1740
145,129909107,28,-0.1718,18.4262,0.600000,1740
146,129910108,25,-0.1534,18.3894,0.600000,1740
147,129911107,21,-0.1289,30.7103,0.600000,1740
148,129912108,16,-0.0982,24.5192,0.600000,1740
149,129913107,10,-0.0614,36.8524,0.600000,1740
150,129914108,4,-0.0245,36.7788,0.600000,1740
151,129915107,4294967293,0.0184,42.9945,0.600000,1740
152,129916108,4294967285,0.0675,49.0383,0.600000,1740
153,129917107,4294967277,0.1166,49.1365,0.600000,1740
154,129918108,4294967269,0.1657,49.0383,0.600000,1740
155,129919107,4294967260,0.2209,55.2786,0.600000,1740
156,129920108,4294967252,0.2761,55.1681,0.600000,1740
157,129921107,4294967242,0.3313,55.2786,0.600000,1740
158,129922108,4294967233,0.3866,55.1681,0.600000,1740
159,129923107,4294967223,0.4479,61.4206,0.600000,1740
160,129924108,4294967213,0.5093,61.2979,0.600000,1740
161,129925107,4294967203,0.5706,61.4206,0.600000,1740
162,129926108,4294967193,0.6320,67.4277,0.600000,1740
163,129927107,4294967182,0.6995,61.4206,0.600000,1740
164,129928108,4294967171,0.7670,67.4277,0.600000,1740
165,129929107,4294967160,0.8345,67.5627,0.600000,1740
166,129930108,4294967149,0.9020,67.4277,0.600000,1740
167,129931107,4294967138,0.9695,67.5627,0.600000,1740
168,129932108,4294967126,1.0431,73.5575,0.600000,1740
169,129933107,4294967115,1.1106,67.5628,0.600000,1740
170,129934108,4294967104,1.1781,67.4277,0.600000,1740
171,129935107,4294967092,1.2517,73.7049,0.600000,1740
172,129936108,4294967081,1.3192,73.5575,0.600000,1740
173,129937107,4294967069,1.3929,67.5627,0.600000,1740
174,129938108,4294967057,1.4665,73.5575,0.600000,1740
175,129939107,4294967045,1.5401,73.7049,0.600000,1740
176,129940108,4294967033,1.6137,73.5575,0.600000,1740
177,129941107,4294967021,1.6874,73.7048,0.600000,1740
178,129942108,4294967009,1.7610,73.5576,0.600000,1740
179,129943107,4294966997,1.8346,79.8468,0.600000,1740
180,129944108,4294966985,1.9083,73.5575,0.600000,1740
181,129945107,4294966972,1.9880,73.7048,0.600000,1740
182,129946108,4294966960,2.0617,73.5576,0.600000,1740
