i,step,speed,pwm
0,12039951,0.20,-21.34,1580
1,12041951,0.20,-21.34,1580
2,12043951,0.20,-21.34,1580
3,12045950,0.20,-19.21,1580
4,12047951,0.20,-19.21,1580
5,12049951,0.20,-19.21,1580
6,12051950,0.20,-17.29,1580
7,12053951,0.20,-17.29,1580
8,12055951,0.20,-17.29,1580
9,12057950,0.20,-15.56,1580
10,12059951,0.20,-15.56,1580
11,12061951,0.20,-15.56,1580
12,12063950,0.20,-14.00,1580
13,12065951,0.20,-14.00,1580
14,12067951,0.20,-14.00,1580
15,12069950,0.20,-12.60,1580
16,12071951,0.20,-12.60,1580
17,12073951,0.20,-12.60,1580
18,12075950,0.20,-11.34,1580
19,12077951,0.20,-11.34,1580
20,12079951,0.20,-11.34,1580
21,12081950,0.20,-10.21,1580
22,12083951,0.20,-10.21,1580
23,12085951,0.20,-10.21,1580
24,12087950,0.20,-9.19,1580
25,12089951,0.20,-9.19,1580
26,12091951,0.20,-9.19,1580
27,12093950,0.20,-8.27,1580
28,12095951,0.20,-8.27,1580
29,12097951,0.20,-8.27,1580
30,12099950,0.20,-7.44,1580
31,12101951,0.20,-7.44,1580
32,12103951,0.20,-7.44,1580
33,12105950,0.20,-6.70,1580
34,12107951,0.20,-6.70,1580
35,12109951,0.20,-6.70,1580
36,12111950,0.20,-6.03,1580
37,12113951,0.20,-6.03,1580
38,12115951,0.20,-6.03,1580
39,12117950,0.20,-5.42,1580
40,12119951,0.20,-5.42,1580
41,12121951,0.20,-5.42,1580
42,12123950,0.20,-4.88,1580
43,12125951,0.20,-4.88,1580
44,12127951,0.20,-4.88,1580
45,12129950,0.20,-4.39,1580
46,12131951,0.20,-4.39,1580
47,12133951,0.20,-4.39,1580
48,12135950,0.20,-3.95,1580
49,12137951,0.20,-3.95,1580
50,12139951,0.20,-3.95,1580
51,12141950,0.20,-3.56,1580
52,12143951,0.20,-3.56,1580
53,12145951,0.20,-3.56,1580
54,12147950,0.20,-3.20,1580
55,12149951,0.20,-3.20,1580
56,12151951,0.20,-3.20,1580
57,12153950,0.20,-1.80,1580
58,12155951,0.20,-1.80,1580
59,12157950,0.20,-1.80,1580
60,12159951,0.20,3.09,1580
61,12161951,0.20,3.09,1580
62,12163950,0.20,3.09,1580
63,12165951,0.20,8.24,1580
64,12167951,0.20,8.24,1580
65,12169950,0.20,8.24,1580
66,12171951,0.20,6.67,1580
67,12173951,0.20,6.67,1580
68,12175950,0.20,6.67,1580
69,12177951,0.20,2.03,1580
70,12179951,0.20,2.03,1580
71,12181950,0.20,2.03,1580
72,12183951,0.20,-1.35,1580
73,12185951,0.20,-1.35,1580
74,12187950,0.20,-1.35,1580
75,12189951,0.20,-5.88,1580
76,12191951,0.20,-5.88,1580
77,12193950,0.20,-5.88,1580
78,12195951,0.20,-11.54,1580
79,12197951,0.20,-11.54,1580
80,12199950,0.20,-11.54,1580
81,12201951,0.20,-17.43,1580
82,12203951,0.20,-17.43,1580
83,12205950,0.20,-17.43,1580
84,12207951,0.20,-23.19,1580
85,12209951,0.20,-23.19,1580
86,12211951,0.20,-23.19,1580
87,12213950,0.20,-28.77,1580
88,12215951,0.20,-28.77,1580
89,12217950,0.20,-28.77,1580
90,12219951,0.20,-34.01,1580
91,12221951,0.20,-34.01,1580
92,12223950,0.20,-34.01,1580
93,12225951,0.20,-38.85,1580
94,12227951,0.20,-38.85,1580
95,12229950,0.20,-38.85,1580
96,12231951,0.20,-43.43,1580
97,12233951,0.20,-43.43,1580
98,12235950,0.20,-43.43,1580
99,12237951,0.20,-47.50,1580
