i,timestamp,count,position,velocity,step,pwm
4,4036965,0,-0.0000,0.0000,0.100000,1540
5,4037965,0,-0.0000,0.0000,0.100000,1540
6,4038965,0,-0.0000,0.0000,0.100000,1540
7,4039965,0,-0.0000,0.0000,0.100000,1540
8,4040965,0,-0.0000,0.0000,0.100000,1540
9,4041965,0,-0.0000,0.0000,0.100000,1540
10,4042965,0,-0.0000,0.0000,0.100000,1540
11,4043965,0,-0.0000,0.0000,0.100000,1540
12,4044965,0,-0.0000,0.0000,0.100000,1540
13,4045965,0,-0.0000,0.0000,0.100000,1540
14,4046965,0,-0.0000,0.0000,0.100000,1540
15,4047965,0,-0.0000,0.0000,0.100000,1540
16,4048965,0,-0.0000,0.0000,0.100000,1540
17,4049965,0,-0.0000,0.0000,0.100000,1540
18,4050965,0,-0.0000,0.0000,0.100000,1540
19,4051965,0,-0.0000,0.0000,0.100000,1540
20,4052965,0,-0.0000,0.0000,0.100000,1540
21,4053965,0,-0.0000,0.0000,0.100000,1540
22,4054965,0,-0.0000,0.0000,0.100000,1540
23,4055965,0,-0.0000,0.0000,0.100000,1540
24,4056965,0,-0.0000,0.0000,0.100000,1540
25,4057965,0,-0.0000,0.0000,0.100000,1540
26,4058965,0,-0.0000,0.0000,0.100000,1540
27,4059965,0,-0.0000,0.0000,0.100000,1540
28,4060965,0,-0.0000,0.0000,0.100000,1540
29,4061965,0,-0.0000,0.0000,0.100000,1540
30,4062965,0,-0.0000,0.0000,0.100000,1540
31,4063965,0,-0.0000,0.0000,0.100000,1540
32,4064965,0,-0.0000,0.0000,0.100000,1540
33,4065965,0,-0.0000,0.0000,0.100000,1540
34,4066965,0,-0.0000,0.0000,0.100000,1540
35,4067965,0,-0.0000,0.0000,0.100000,1540
36,4068965,0,-0.0000,0.0000,0.100000,1540
37,4069965,0,-0.0000,0.0000,0.100000,1540
38,4070965,0,-0.0000,0.0000,0.100000,1540
39,4071965,0,-0.0000,0.0000,0.100000,1540
40,4072965,0,-0.0000,0.0000,0.100000,1540
41,4073965,0,-0.0000,0.0000,0.100000,1540
42,4074965,0,-0.0000,0.0000,0.100000,1540
43,4075965,0,-0.0000,0.0000,0.100000,1540
44,4076965,0,-0.0000,0.0000,0.100000,1540
45,4077965,0,-0.0000,0.0000,0.100000,1540
46,4078965,0,-0.0000,0.0000,0.100000,1540
47,4079965,0,-0.0000,0.0000,0.100000,1540
48,4080965,0,-0.0000,0.0000,0.100000,1540
49,4081965,0,-0.0000,0.0000,0.100000,1540
50,4082965,0,-0.0000,0.0000,0.100000,1540
51,4083965,0,-0.0000,0.0000,0.100000,1540
52,4084965,0,-0.0000,0.0000,0.100000,1540
53,4085965,0,-0.0000,0.0000,0.100000,1540
54,4086965,0,-0.0000,0.0000,0.100000,1540
55,4087965,0,-0.0000,0.0000,0.100000,1540
56,4088965,0,-0.0000,0.0000,0.100000,1540
57,4089965,0,-0.0000,0.0000,0.100000,1540
58,4090965,0,-0.0000,0.0000,0.100000,1540
59,4091965,0,-0.0000,0.0000,0.100000,1540
60,4092965,0,-0.0000,0.0000,0.100000,1540
61,4093965,0,-0.0000,0.0000,0.100000,1540
62,4094965,0,-0.0000,0.0000,0.100000,1540
63,4095965,0,-0.0000,0.0000,0.100000,1540
64,4096965,0,-0.0000,0.0000,0.100000,1540
65,4097965,0,-0.0000,0.0000,0.100000,1540
66,4098965,0,-0.0000,0.0000,0.100000,1540
67,4099965,0,-0.0000,0.0000,0.100000,1540
68,4100965,0,-0.0000,0.0000,0.100000,1540
69,4101965,0,-0.0000,0.0000,0.100000,1540
70,4102965,0,-0.0000,0.0000,0.100000,1540
71,4103965,0,-0.0000,0.0000,0.100000,1540
72,4104965,0,-0.0000,0.0000,0.100000,1540
73,4105965,0,-0.0000,0.0000,0.100000,1540
74,4106965,0,-0.0000,0.0000,0.100000,1540
75,4107965,0,-0.0000,0.0000,0.100000,1540
76,4108965,0,-0.0000,0.0000,0.100000,1540
77,4109965,0,-0.0000,0.0000,0.100000,1540
78,4110965,0,-0.0000,0.0000,0.100000,1540
79,4111965,0,-0.0000,0.0000,0.100000,1540
80,4112965,0,-0.0000,0.0000,0.100000,1540
81,4113965,0,-0.0000,0.0000,0.100000,1540
82,4114965,0,-0.0000,0.0000,0.100000,1540
83,4115965,0,-0.0000,0.0000,0.100000,1540
84,4116965,0,-0.0000,0.0000,0.100000,1540
85,4117965,0,-0.0000,0.0000,0.100000,1540
86,4118965,0,-0.0000,0.0000,0.100000,1540
87,4119965,0,-0.0000,0.0000,0.100000,1540
88,4120965,0,-0.0000,0.0000,0.100000,1540
89,4121965,0,-0.0000,0.0000,0.100000,1540
90,4122965,0,-0.0000,0.0000,0.100000,1540
91,4123965,0,-0.0000,0.0000,0.100000,1540
92,4124965,0,-0.0000,0.0000,0.100000,1540
93,4125965,0,-0.0000,0.0000,0.100000,1540
94,4126965,0,-0.0000,0.0000,0.100000,1540
95,4127965,0,-0.0000,0.0000,0.100000,1540
96,4128965,0,-0.0000,0.0000,0.100000,1540
97,4129965,0,-0.0000,0.0000,0.100000,1540
98,4130965,0,-0.0000,0.0000,0.100000,1540
99,4131965,0,-0.0000,0.0000,0.100000,1540
100,4132965,0,-0.0000,0.0000,0.100000,1540
101,4133965,0,-0.0000,0.0000,0.100000,1540
102,4134965,0,-0.0000,0.0000,0.100000,1540
103,4135965,0,-0.0000,0.0000,0.100000,1540
104,4136965,0,-0.0000,0.0000,0.100000,1540
105,4137965,0,-0.0000,0.0000,0.100000,1540
106,4138965,0,-0.0000,0.0000,0.100000,1540
107,4139965,0,-0.0000,0.0000,0.100000,1540
108,4140965,0,-0.0000,0.0000,0.100000,1540
109,4141965,0,-0.0000,0.0000,0.100000,1540
110,4142965,0,-0.0000,0.0000,0.100000,1540
111,4143965,0,-0.0000,0.0000,0.100000,1540
112,4144965,0,-0.0000,0.0000,0.100000,1540
113,4145965,0,-0.0000,0.0000,0.100000,1540
114,4146965,0,-0.0000,0.0000,0.100000,1540
115,4147965,0,-0.0000,0.0000,0.100000,1540
116,4148965,0,-0.0000,0.0000,0.100000,1540
117,4149965,0,-0.0000,0.0000,0.100000,1540
118,4150965,0,-0.0000,0.0000,0.100000,1540
119,4151965,0,-0.0000,0.0000,0.100000,1540
120,4152965,0,-0.0000,0.0000,0.100000,1540
121,4153965,0,-0.0000,0.0000,0.100000,1540
122,4154965,4294967295,0.0061,6.1359,0.100000,1540
123,4155964,4294967293,0.0184,12.2841,0.100000,1540
124,4156965,4294967290,0.0368,18.3894,0.100000,1540
125,4157964,4294967287,0.0552,18.4262,0.100000,1540
126,4158965,4294967283,0.0798,24.5192,0.100000,1540
127,4159964,4294967279,0.1043,24.5683,0.100000,1540
128,4160965,4294967275,0.1289,24.5192,0.100000,1540
129,4161964,4294967271,0.1534,24.5683,0.100000,1540
130,4162965,4294967267,0.1779,24.5192,0.100000,1540
131,4163964,4294967264,0.1963,24.5683,0.100000,1540
132,4164965,4294967261,0.2148,12.2596,0.100000,1540
133,4165964,4294967259,0.2270,12.2841,0.100000,1540
134,4166965,4294967258,0.2332,6.1298,0.100000,1540
135,4167964,4294967258,0.2332,0.0000,0.100000,1540
136,4168965,4294967258,0.2332,0.0000,0.100000,1540
137,4169964,4294967260,0.2209,-12.2841,0.100000,1540
138,4170965,4294967262,0.2086,-12.2596,0.100000,1540
139,4171964,4294967265,0.1902,-18.4262,0.100000,1540
140,4172965,4294967269,0.1657,-24.5192,0.100000,1540
141,4173964,4294967272,0.1473,-18.4262,0.100000,1540
142,4174965,4294967275,0.1289,-18.3894,0.100000,1540
143,4175964,4294967279,0.1043,-24.5683,0.100000,1540
144,4176965,4294967282,0.0859,-18.3894,0.100000,1540
145,4177964,4294967285,0.0675,-18.4262,0.100000,1540
146,4178965,4294967287,0.0552,-12.2596,0.100000,1540
147,4179964,4294967290,0.0368,-18.4262,0.100000,1540
148,4180965,4294967291,0.0307,-12.2596,0.100000,1540
149,4181964,4294967293,0.0184,-6.1421,0.100000,1540
150,4182965,4294967294,0.0123,-6.1298,0.100000,1540
151,4183964,4294967294,0.0123,0.0000,0.100000,1540
152,4184965,4294967295,0.0061,-6.1298,0.100000,1540
153,4185964,4294967295,0.0061,0.0000,0.100000,1540
