current_time,dt,position,current_velocity,error,normalized_error,derivative,integral,output,pwm
3037065,0.002000,0.0000,0.000000,20.00,0.0418,4.1841,0.0001,0.0809,1532
3047943,0.010878,0.0000,0.000000,20.00,0.0418,0.6154,0.0005,0.0743,1529
3057943,0.002000,0.0000,0.000000,20.00,0.0418,1.0968,0.0010,0.0752,1530
3067943,0.002000,0.0000,0.000000,20.00,0.0418,0.3594,0.0014,0.0738,1529
3077943,0.002000,0.0000,0.000000,20.00,0.0418,0.1178,0.0018,0.0733,1529
3087943,0.002000,0.0000,0.000000,20.00,0.0418,0.0386,0.0022,0.0732,1529
3097943,0.002000,0.0000,0.000000,20.00,0.0418,0.0126,0.0026,0.0731,1529
3107943,0.002000,0.0000,0.000000,20.00,0.0418,0.0041,0.0030,0.0731,1529
3117943,0.002000,0.0000,0.000000,20.00,0.0418,0.0014,0.0035,0.0731,1529
3127943,0.002000,0.0000,0.000000,20.00,0.0418,0.0004,0.0039,0.0731,1529
3137943,0.002000,0.0000,0.000000,20.00,0.0418,0.0001,0.0043,0.0731,1529
3147943,0.002000,0.0000,0.000000,20.00,0.0418,0.0000,0.0047,0.0731,1529
3157943,0.002000,0.0000,0.000000,20.00,0.0418,0.0000,0.0051,0.0731,1529
3167943,0.002000,0.0000,0.000000,20.00,0.0418,0.0000,0.0056,0.0731,1529
3177943,0.002000,0.0000,0.000000,20.00,0.0418,0.0000,0.0060,0.0731,1529
3187943,0.002000,-0.0614,10.328803,9.67,0.0202,-1.6174,0.0063,-0.0715,1472
3197943,0.002000,-0.1718,8.078963,11.92,0.0249,0.1608,0.0065,0.0722,1528
3207943,0.002000,-0.3559,18.224184,1.78,0.0037,-1.0823,0.0065,-0.0717,1472
3217943,0.002000,-0.5522,22.600914,-2.60,-0.0054,-1.0996,0.0065,-0.0724,1472
3227943,0.002000,-0.7731,24.032354,-4.03,-0.0084,-0.7802,0.0065,-0.0721,1472
3237943,0.002000,-1.0063,24.544352,-4.54,-0.0095,-0.4516,0.0064,-0.0715,1472
3247943,0.002000,-1.2395,24.544357,-4.54,-0.0095,-0.2961,0.0064,-0.0713,1472
3257943,0.002000,-1.4849,24.543703,-4.54,-0.0095,-0.0969,0.0063,-0.0709,1472
3267943,0.002000,-1.7303,24.543701,-4.54,-0.0095,-0.0318,0.0062,-0.0708,1472
3277943,0.002000,-1.9758,24.543697,-4.54,-0.0095,-0.0104,0.0061,-0.0707,1472
3287943,0.002000,-2.2212,24.543734,-4.54,-0.0095,-0.0034,0.0060,-0.0707,1472
3297943,0.002000,-2.4666,24.543734,-4.54,-0.0095,-0.0011,0.0059,-0.0707,1472
